Список государственных ведомств,,,,,
Ведомство,Департамент,Должность,Имя,Начало работы,Конец работы
Министерство экономического развития и торговли РФ,,Министр экономического развития и торговли РФ,Греф Герман Оскарович,18 мая 2000,24 сентября 2007
,,Министр экономического развития и торговли РФ,Набиуллина Эльвира Сахипзадовна,24 сентября 2007,12 мая 2008
,,Первый заместитель Министра,Матеров Иван Сергеевич,июнь 2000 г.,2004 г.
,,Заместитель Министра,Кузнецов Станислав Константинович,апрель 2007 г.,январь 2008 г.
,,Заместитель Министра,Белоусов Андрей Рэмович,6 февраля 2006,13 мая 2008
,,"Статс-секретарь, заместитель министра",Попова Анна Владиславовна,2008,?
,,Заместитель Министра,Андросов Кирилл Геннадьевич,2005,13 мая 2008
,,"Статс-секретарь, заместитель министра",Шаронов Андрей Владимирович,2000,2007
,,Заместитель Министра,Савельев Виталий Геннадьевич,2004,17 октября 2007
,,Заместитель Министра,Белецкий Юрий Владимирович,июнь 2000 г.,август 2003 г.
,,Заместитель Министра,Циканов Мухамед Мухадинович,июль 2000 г.,2004 г.
,,,,,
Министерство экономического развития РФ,,Министр экономического развития РФ,Набиуллина Эльвира Сахипзадовна,12 мая 2008,21 мая 2012
,,Министр экономического развития РФ,Белоусов Андрей Рэмович,21 мая 2012,24 июня 2013
,,Министр экономического развития РФ,Улюкаев Алексей Валентинович,24 июня 2013,15 ноября 2016
,,Министр экономического развития РФ (врио),Елин Евгений Иванович,15 ноября 2016,30 ноября 2016
,,Министр экономического развития РФ,Орешкин Максим Станиславович,30 ноября 2016,21 января 2020
,,Министр экономического развития РФ,Решетников Максим Геннадьевич,21 января 2020,
,,Первый заместитель Министра,Лихачев Алексей Евгеньевич,29 июля 2010,13 февраля 2015
,,Заместитель Министра,,13 февраля 2015,5 октября 2016
,,Заместитель Министра,Фомичев Олег Владиславович,12 ноября 2010,7 июля 2012
,,Статс-секретарь — заместитель,,7 июля 2012,16 августа 2018
,,Заместитель Министра,Королев Павел Эдуардович,13 июня 2012,15 декабря 2016
,,Заместитель Министра,Елин Евгений Иванович,31 июля 2013,13 июля 2017
,,Заместитель Министра,Подгузов Николай Радиевич,19 сентября 2013,7 июля 2017
,,Заместитель Министра,Рева Игорь Александрович,15 апреля 2014,17 января 2017
,,Заместитель Министра,Ведев Алексей Леонидович,19 августа 2014,21 февраля 2017
,,Заместитель Министра,Воскресенский Станислав Сергеевич,9 февраля 2008,10 июля 2012
,,Заместитель Министра,,19 августа 2014,10 октября 2017
,,Заместитель Министра,Цыбульский Александр Витальевич,19 ноября 2014,28 сентября 2017
,,Заместитель Министра,Пристансков Дмитрий Владимирович,20 апреля 2016,21 декабря 2018
,,Заместитель Министра,Шипов Савва Витальевич,10 июня 2016,17 июля 2019
